feature,comparison,B[KDE bw=0.75 eps=0.001],A[KDE bw=0.75 eps=0.001],B[KDE bw=1.0 eps=0.001],A[KDE bw=1.0 eps=0.001],B[KDE bw=1.25 eps=0.001],A[KDE bw=1.25 eps=0.001],B[hist 10 bins],A[hist 10 bins],B[hist 20 bins],A[hist 20 bins],B[hist 40 bins],A[hist 40 bins],B[KDE bw=1.0 eps=1e-06],A[KDE bw=1.0 eps=1e-06],B[KDE bw=1.0 eps=0.01],A[KDE bw=1.0 eps=0.01],B[KDE bw=1.0 eps=0.1],A[KDE bw=1.0 eps=0.1],sign_stable_all9,sign_stable_kernel_only,sign_stable_histogram_only,B_min,B_max
D,Human - Fungal,-0.126561,0.174891,-0.124814,0.181216,-0.120542,0.183128,-0.064089,0.196531,-0.000226,0.276624,0.035155,0.333041,-0.125237,0.18166,-0.121135,0.177343,-0.093758,0.148121,False,True,False,-0.126561,0.035155
D,Human - Bacterial,0.092376,0.153665,0.080897,0.143149,0.070459,0.133192,0.137937,0.192585,0.203293,0.318964,0.292561,0.467187,0.081392,0.1437,0.07668,0.138429,0.049366,0.106572,True,True,True,0.049366,0.292561
D,Human - Nematode,0.035426,0.131355,0.010029,0.114219,-0.003387,0.09748,0.364045,0.533493,0.356191,0.592685,0.434832,0.657722,0.010043,0.114602,0.009891,0.110907,0.008295,0.086936,False,False,True,-0.003387,0.434832
D,Fungal - Bacterial,0.206471,0.263698,0.195688,0.255371,0.182612,0.245706,0.164899,0.293134,0.166436,0.301098,0.20461,0.356817,0.196478,0.256184,0.188848,0.248318,0.139493,0.196918,True,True,True,0.139493,0.206471
D,Fungal - Nematode,0.159714,0.222988,0.134459,0.194472,0.117589,0.175642,0.428234,0.541492,0.336433,0.55686,0.364728,0.592153,0.1349,0.194937,0.130612,0.190421,0.101616,0.159449,True,True,True,0.101616,0.428234
D,Bacterial - Nematode,-0.047439,0.204541,-0.065009,0.174084,-0.069923,0.142815,0.330567,0.553265,0.25546,0.615231,0.195372,0.53678,-0.065412,0.174739,-0.061568,0.168442,-0.039037,0.12917,False,True,True,-0.069923,0.330567
V,Human - Fungal,0.071548,0.123126,0.062715,0.113686,0.058315,0.09992,0.112218,0.163963,0.135629,0.228654,0.200018,0.295683,0.061029,0.116472,0.063426,0.104158,0.043551,0.077286,True,True,True,0.043551,0.200018
V,Human - Bacterial,0.678224,0.760654,0.684044,0.772993,0.683606,0.779279,0.61989,0.711786,0.6328,0.704382,0.647257,0.714599,0.712016,0.800982,0.602442,0.691244,0.399552,0.486901,True,True,True,0.399552,0.712016
V,Human - Nematode,-0.050075,0.152135,-0.085009,0.109222,-0.102097,0.119579,0.107802,0.387812,0.210784,0.443442,0.262844,0.460189,-0.086601,0.110906,-0.073076,0.096516,-0.032256,0.051224,False,True,True,-0.102097,0.262844
V,Fungal - Bacterial,0.682631,0.752473,0.69031,0.768841,0.688778,0.776068,0.609105,0.678533,0.527373,0.584043,0.46367,0.52291,0.715977,0.794522,0.594286,0.672692,0.36826,0.445439,True,True,True,0.36826,0.715977
V,Fungal - Nematode,-0.124002,0.206269,-0.152873,0.194093,-0.162495,0.19798,0.056122,0.404123,0.066885,0.384759,0.061817,0.329856,-0.154907,0.19615,-0.137281,0.178287,-0.075495,0.114496,False,True,True,-0.162495,0.066885
V,Bacterial - Nematode,-0.707102,0.787871,-0.700871,0.793926,-0.691576,0.79689,-0.500667,0.580619,-0.393373,0.457043,-0.324474,0.483144,-0.707795,0.800867,-0.647991,0.740886,-0.425572,0.516905,True,True,True,-0.707795,-0.324474
