feature,group_A,group_B,estimator,bw_scale,nbins,eps,A_bar,B_bar,C,sign_B
D_exp,Human,Fungal,kde,0.75,20,0.001,0.17489128339473847,-0.1265608974145783,0.7236546896904172,-1
D_exp,Human,Fungal,kde,1.0,20,0.001,0.18121552064102658,-0.12481429781312944,0.6887616324011041,-1
D_exp,Human,Fungal,kde,1.25,20,0.001,0.18312815493138643,-0.12054162423216153,0.6582364370859602,-1
D_exp,Human,Fungal,hist,1.0,10,0.001,0.19653096379603002,-0.06408921903138826,0.3261024003215257,-1
D_exp,Human,Fungal,hist,1.0,20,0.001,0.276623522805609,-0.00022553298723219928,0.0008153066121954045,-1
D_exp,Human,Fungal,hist,1.0,40,0.001,0.33304076219340145,0.03515545840389272,0.10555902578519037,1
D_exp,Human,Fungal,kde,1.0,20,1e-06,0.18166006508330307,-0.12523735627346733,0.6894049950716343,-1
D_exp,Human,Fungal,kde,1.0,20,0.01,0.17734343324149715,-0.12113488737997699,0.6830525673596368,-1
D_exp,Human,Fungal,kde,1.0,20,0.1,0.14812106298360134,-0.09375773117747248,0.6329804100032181,-1
D_exp,Human,Bacterial,kde,0.75,20,0.001,0.15366544044469274,0.09237586517461727,0.6011492558592911,1
D_exp,Human,Bacterial,kde,1.0,20,0.001,0.14314910918040413,0.08089746491938367,0.5651272675223733,1
D_exp,Human,Bacterial,kde,1.25,20,0.001,0.13319216211816862,0.07045942746041158,0.5290058088996235,1
D_exp,Human,Bacterial,hist,1.0,10,0.001,0.19258484710109935,0.13793688101293175,0.7162395333238258,1
D_exp,Human,Bacterial,hist,1.0,20,0.001,0.31896437324057736,0.2032931575775147,0.6373538069851513,1
D_exp,Human,Bacterial,hist,1.0,40,0.001,0.46718669856431216,0.29256053393517184,0.6262176017301537,1
D_exp,Human,Bacterial,kde,1.0,20,1e-06,0.14369978596586372,0.0813917632533381,0.5664014229824458,1
D_exp,Human,Bacterial,kde,1.0,20,0.01,0.13842948708464187,0.07668029212774323,0.5539303348054561,1
D_exp,Human,Bacterial,kde,1.0,20,0.1,0.10657245022876762,0.04936576915230341,0.46321323237229906,1
D_exp,Human,Nematode,kde,0.75,20,0.001,0.13135549554142267,0.0354255120908391,0.2696918917995916,1
D_exp,Human,Nematode,kde,1.0,20,0.001,0.11421934803955618,0.01002860466770349,0.0878012774528393,1
D_exp,Human,Nematode,kde,1.25,20,0.001,0.09747962599363458,-0.003387325301462889,0.034749059271976294,-1
D_exp,Human,Nematode,hist,1.0,10,0.001,0.5334929869621512,0.36404455958058535,0.6823792785984881,1
D_exp,Human,Nematode,hist,1.0,20,0.001,0.5926853281673455,0.35619066548822176,0.6009777002403724,1
D_exp,Human,Nematode,hist,1.0,40,0.001,0.6577215346952212,0.43483180302268815,0.6611183914240896,1
D_exp,Human,Nematode,kde,1.0,20,1e-06,0.11460168334217845,0.010043032679254176,0.08763425096704404,1
D_exp,Human,Nematode,kde,1.0,20,0.01,0.11090743416845356,0.009891077006570766,0.08918317406520777,1
D_exp,Human,Nematode,kde,1.0,20,0.1,0.08693635439534042,0.00829470725010749,0.09541126158094416,1
D_exp,Fungal,Bacterial,kde,0.75,20,0.001,0.2636983018428853,0.2064714653591619,0.7829836745864983,1
D_exp,Fungal,Bacterial,kde,1.0,20,0.001,0.25537093581431747,0.19568815682396729,0.7662898528368707,1
D_exp,Fungal,Bacterial,kde,1.25,20,0.001,0.24570571442055245,0.18261150248207048,0.743212272912427,1
D_exp,Fungal,Bacterial,hist,1.0,10,0.001,0.2931339683233791,0.16489923672131054,0.5625388202686809,1
D_exp,Fungal,Bacterial,hist,1.0,20,0.001,0.301097954574805,0.1664360373388741,0.552763759467933,1
D_exp,Fungal,Bacterial,hist,1.0,40,0.001,0.35681680462152476,0.20460983623244627,0.5734310536452333,1
D_exp,Fungal,Bacterial,kde,1.0,20,1e-06,0.25618406965953433,0.1964775908552888,0.7669391430794477,1
D_exp,Fungal,Bacterial,kde,1.0,20,0.01,0.2483178421122284,0.18884771549960255,0.7605080403938592,1
D_exp,Fungal,Bacterial,kde,1.0,20,0.1,0.19691827692182473,0.1394929421254438,0.7083798634944464,1
D_exp,Fungal,Nematode,kde,0.75,20,0.001,0.22298764812671382,0.15971428146691535,0.7162472128328693,1
D_exp,Fungal,Nematode,kde,1.0,20,0.001,0.19447222212714588,0.13445866837134365,0.6914029515404756,1
D_exp,Fungal,Nematode,kde,1.25,20,0.001,0.1756423711696875,0.1175886835525386,0.6694778871946369,1
D_exp,Fungal,Nematode,hist,1.0,10,0.001,0.5414921964430829,0.4282344256713989,0.7908413611209101,1
D_exp,Fungal,Nematode,hist,1.0,20,0.001,0.5568603167668613,0.33643280645032664,0.6041601391236857,1
D_exp,Fungal,Nematode,hist,1.0,40,0.001,0.5921530344711694,0.3647279409723942,0.6159352730466366,1
D_exp,Fungal,Nematode,kde,1.0,20,1e-06,0.19493653261669386,0.13490012105843885,0.6920207271958337,1
D_exp,Fungal,Nematode,kde,1.0,20,0.01,0.19042052007004456,0.13061210340711243,0.6859140147241899,1
D_exp,Fungal,Nematode,kde,1.0,20,0.1,0.15944869826636063,0.10161644851277149,0.6372987024517454,1
D_exp,Bacterial,Nematode,kde,0.75,20,0.001,0.20454069077959702,-0.047438884223302745,0.2319288354923009,-1
D_exp,Bacterial,Nematode,kde,1.0,20,0.001,0.17408354748683574,-0.06500916129633025,0.37343656097797673,-1
D_exp,Bacterial,Nematode,kde,1.25,20,0.001,0.14281492099016352,-0.06992287036454634,0.4896047967520307,-1
D_exp,Bacterial,Nematode,hist,1.0,10,0.001,0.5532652261558855,0.3305673918090783,0.5974844905866886,1
D_exp,Bacterial,Nematode,hist,1.0,20,0.001,0.61523077488874,0.2554602045881538,0.4152266352968964,1
D_exp,Bacterial,Nematode,hist,1.0,40,0.001,0.5367803975939954,0.19537231105321587,0.36397065155309494,1
D_exp,Bacterial,Nematode,kde,1.0,20,1e-06,0.17473854891676374,-0.06541163526392305,0.3743400392725117,-1
D_exp,Bacterial,Nematode,kde,1.0,20,0.01,0.168442259139366,-0.06156773233559734,0.3655123877474081,-1
D_exp,Bacterial,Nematode,kde,1.0,20,0.1,0.12917003079327108,-0.03903671728393528,0.3022118756510263,-1
af_very_low_content,Human,Fungal,kde,0.75,20,0.001,0.12312623034270939,0.07154812372029264,0.5810957057740311,1
af_very_low_content,Human,Fungal,kde,1.0,20,0.001,0.1136856984602447,0.06271450710726129,0.5516481664507011,1
af_very_low_content,Human,Fungal,kde,1.25,20,0.001,0.09991991420240161,0.058315460595594795,0.5836220042930458,1
af_very_low_content,Human,Fungal,hist,1.0,10,0.001,0.16396309261842007,0.11221796130891289,0.6844098846688014,1
af_very_low_content,Human,Fungal,hist,1.0,20,0.001,0.22865415626024005,0.13562905353879787,0.5931624237979443,1
af_very_low_content,Human,Fungal,hist,1.0,40,0.001,0.2956831741872578,0.20001846727532763,0.6764621214078783,1
af_very_low_content,Human,Fungal,kde,1.0,20,1e-06,0.11647211960124304,0.0610294473313875,0.5239833149798381,1
af_very_low_content,Human,Fungal,kde,1.0,20,0.01,0.10415803359020256,0.0634264672506565,0.608944553429267,1
af_very_low_content,Human,Fungal,kde,1.0,20,0.1,0.07728638474497523,0.04355095620901498,0.5635010144765045,1
af_very_low_content,Human,Bacterial,kde,0.75,20,0.001,0.7606538653148491,0.6782235131698542,0.891632244436337,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.001,0.7729934700197529,0.6840436209617451,0.8849280718299796,1
af_very_low_content,Human,Bacterial,kde,1.25,20,0.001,0.7792792577859108,0.683605733776446,0.8772281912375127,1
af_very_low_content,Human,Bacterial,hist,1.0,10,0.001,0.7117855370844287,0.6198900042712365,0.8708943522656994,1
af_very_low_content,Human,Bacterial,hist,1.0,20,0.001,0.7043816533257725,0.6327995395458669,0.8983759536581807,1
af_very_low_content,Human,Bacterial,hist,1.0,40,0.001,0.7145994204568118,0.6472565406043672,0.9057613567480991,1
af_very_low_content,Human,Bacterial,kde,1.0,20,1e-06,0.800982386659436,0.7120160693746651,0.8889284973470986,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.01,0.6912435748490173,0.6024417966950146,0.871533304055088,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.1,0.48690136847820714,0.399552033551522,0.8206015826168401,1
af_very_low_content,Human,Nematode,kde,0.75,20,0.001,0.15213516271543195,-0.05007515538556758,0.329149123002109,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.001,0.1092217534173554,-0.08500910003625206,0.7783165658531175,-1
af_very_low_content,Human,Nematode,kde,1.25,20,0.001,0.11957935564970511,-0.10209723060991151,0.8538031506792393,-1
af_very_low_content,Human,Nematode,hist,1.0,10,0.001,0.3878123736223838,0.1078019201326585,0.2779744213051494,1
af_very_low_content,Human,Nematode,hist,1.0,20,0.001,0.44344204812049004,0.21078350816044683,0.4753349598980151,1
af_very_low_content,Human,Nematode,hist,1.0,40,0.001,0.46018935394938976,0.26284364412272637,0.5711641129178167,1
af_very_low_content,Human,Nematode,kde,1.0,20,1e-06,0.1109063568369845,-0.0866009935750506,0.7808478796426513,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.01,0.09651611821985005,-0.07307620153685665,0.7571398734706613,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.1,0.05122435600631883,-0.032256077638602144,0.6297019651086129,-1
