feature,group_A,group_B,n_A,n_B,A_bar,A_bar_lo,A_bar_hi,B_bar,B_bar_lo,B_bar_hi,B_bar_excludes_zero,C,C_lo,C_hi,triangle_ok,S_max_abs,S_in_open_unit,n_zero_crossings,ks_stat,ks_p,mw_U,mw_p,rank_biserial,median_A,median_B
D_exp,Human,Fungal,1339,223,0.18121552064102658,0.11005474903252857,0.2564612001383679,-0.12481429781312944,-0.17844017796530115,-0.04765174011497556,True,0.6887616324011041,0.38644059366710604,0.7382288108175639,True,0.3426075817945003,True,2,0.14373553652581908,0.0006632818058445189,127896.5,0.0005992978888455242,-0.14335040204690608,0.1244377811094452,0.1801801801801801
D_exp,Human,Bacterial,1339,146,0.14314910918040413,0.08829656442083868,0.3160978027338375,0.08089746491938367,-0.03589962901719906,0.24948985848074973,False,0.5651272675223733,0.042621899395801965,0.8376246483326504,True,0.3504016737107462,True,2,0.07703049709965523,0.3936528286026427,96833.0,0.852703121791766,-0.009350670608816669,0.1244377811094452,0.11418612757058205
D_exp,Human,Nematode,1339,58,0.11421934803955618,0.08742266029032297,0.3679931286300164,0.01002860466770349,-0.12285547586487812,0.30618602694069263,False,0.0878012774528393,0.028888871258381278,0.8625614455140952,True,0.4429217517988983,True,5,0.1459014704746208,0.16919824668156858,43328.0,0.13492776577633203,0.11580953362004576,0.1244377811094452,0.0955935448118356
D_exp,Fungal,Bacterial,223,146,0.25537093581431747,0.1266053132346163,0.41286301261434327,0.19568815682396729,0.07725484373523375,0.3284377416053337,True,0.7662898528368707,0.5866621419054177,0.8217799190573519,True,0.5573075585260643,True,1,0.18791080533202284,0.003283865844228877,18690.5,0.016101750801772986,0.14813563486700665,0.1801801801801801,0.11418612757058205
D_exp,Fungal,Nematode,223,58,0.19447222212714588,0.0840216863170163,0.4776846820192686,0.13445866837134365,-0.012726821272771038,0.3754505583537625,False,0.6914029515404756,0.07603926674003936,0.8059861786680059,True,0.43558133785788256,True,1,0.24570898407298594,0.006155027777816944,8080.0,0.0034429660332813126,0.24942013298283583,0.1801801801801801,0.0955935448118356
D_exp,Bacterial,Nematode,146,58,0.17408354748683574,0.10633318206767828,0.4152162324146322,-0.06500916129633025,-0.2512297523175821,0.2606007461705271,False,0.37343656097797673,0.023618421585675592,0.8404505786249301,True,0.5203728452045716,True,3,0.18138875767595655,0.11215647559502058,4800.0,0.13705644487943658,0.13367973547472833,0.11418612757058205,0.0955935448118356
af_very_low_content,Human,Fungal,1246,219,0.1136856984602447,0.08053461293637779,0.3298771083248597,0.06271450710726129,-0.07148522326820625,0.27947347168825926,False,0.5516481664507011,0.032155952373464504,0.8721420054628091,True,0.22713729634225377,True,4,0.11121250100779115,0.01823753882402605,152727.0,0.004782413384123811,0.1193957650783879,0.17626346313173155,0.1433823529411764
af_very_low_content,Human,Bacterial,1246,143,0.7729934700197529,0.7169918510213469,0.8237304855532469,0.6840436209617451,0.6324514492276594,0.730977593703254,True,0.8849280718299796,0.8714322014053838,0.8966943958380753,True,0.9968802844984714,True,1,0.5230612084544669,5.6797427427492677e-33,149092.5,7.858681044756021e-40,0.6735231061073759,0.17626346313173155,0.0277777777777777
af_very_low_content,Human,Nematode,1246,54,0.1092217534173554,0.10762413639738908,0.34543136191284407,-0.08500910003625206,-0.19638929016043194,0.28509397823809957,False,0.7783165658531175,0.03401240379859743,0.8717204920977941,True,0.9528845028393965,True,4,0.11661018964389751,0.44733724227655086,35457.0,0.5016949558765814,0.05395041911895837,0.17626346313173155,0.14311315924219145
af_very_low_content,Fungal,Bacterial,219,143,0.7688411716407307,0.6326832434324701,0.8196426941124638,0.6903099865331752,0.5538463172054383,0.7355686241361828,True,0.897857726661584,0.8697970785945236,0.9128356179940965,True,0.9957213833143942,True,1,0.4367595874445189,2.2014458117674285e-15,24402.0,2.5375038979059107e-19,0.5583868186607912,0.1433823529411764,0.0277777777777777
af_very_low_content,Fungal,Nematode,219,54,0.1940928080299208,0.11713484098056517,0.40576443977814824,-0.15287339426035007,-0.3107514566501521,0.21726936207549144,False,0.7876303909044561,0.04003106492947113,0.849918416855049,True,0.9281185643016493,True,3,0.10400811770674784,0.6910875039496218,5465.0,0.389137734323626,-0.07576526297987485,0.1433823529411764,0.14311315924219145
af_very_low_content,Bacterial,Nematode,143,54,0.793925694765488,0.6228514906017746,0.8420992448313632,-0.7008714818108044,-0.742546248103728,-0.5467238442349087,True,0.8827922895452197,0.8438448360111293,0.9056086895300401,True,0.9972404846309483,True,1,0.5165760165760166,4.0674474202732477e-10,1383.5,3.6699048376036705e-12,-0.6416731416731416,0.0277777777777777,0.14311315924219145
