acc,disprot_id,organism,ncbi_taxon_id,group,protein_name,gene,length,seq_len_check,n_regions,n_disorder_res_D,n_disorder_res_D_or_S,D_exp,D_exp_ambiguous,disorder_content_source,af_very_low_content,af_available,has_ambiguous_S,uniparc,uniref50,released,source_file
P49913,DP00004,Homo sapiens,9606,Human,Cathelicidin antimicrobial peptide,CAMP,170,170,6,37,37,0.21764705882352942,0.21764705882352942,0.21764705882352942,0.023529411764705882,True,False,UPI0000000A67,UniRef50_P49913,2016_10,disprot_taxon_9606_homo_sapiens.json
P27695,DP00007,Homo sapiens,9606,Human,DNA-(apurinic or apyrimidinic site) lyase,APEX1,318,318,10,43,43,0.13522012578616352,0.13522012578616352,0.13522012578616352,0.1132075471698113,True,False,UPI0000125C38,UniRef50_P27695,2016_10,disprot_taxon_9606_homo_sapiens.json
P0DMM9,DP00011,Homo sapiens,9606,Human,Sulfotransferase 1A3,SULT1A3,295,295,7,60,60,0.2033898305084746,0.2033898305084746,0.2033898305084746,0.01694915254237288,True,False,UPI0000046BED,UniRef50_P0DMM9,2016_10,disprot_taxon_9606_homo_sapiens.json
P13569,DP00012,Homo sapiens,9606,Human,Cystic fibrosis transmembrane conductance regulator,CFTR,1480,1480,30,185,185,0.125,0.125,0.125,0.17432432432432432,True,False,UPI00001428B9,UniRef50_P13569,2016_10,disprot_taxon_9606_homo_sapiens.json
P0DN86,DP00013,Homo sapiens,9606,Human,Choriogonadotropin subunit beta 3,CGB3,165,165,6,34,34,0.20606060606060606,0.20606060606060606,0.20606060606060606,0.1393939393939394,True,False,UPI0000035497,UniRef50_P0DN86,2016_10,disprot_taxon_9606_homo_sapiens.json
P38936,DP00016,Homo sapiens,9606,Human,Cyclin-dependent kinase inhibitor 1,CDKN1A,164,164,42,164,164,1.0,1.0,1.0,0.2621951219512195,True,False,UPI00004E1857,UniRef50_P38936,2016_10,disprot_taxon_9606_homo_sapiens.json
P49918,DP00017,Homo sapiens,9606,Human,Cyclin-dependent kinase inhibitor 1C,CDKN1C,316,316,19,316,316,1.0,1.0,1.0,0.2689873417721519,True,False,UPI0000127442,UniRef50_P49918,2016_10,disprot_taxon_9606_homo_sapiens.json
P46527,DP00018,Homo sapiens,9606,Human,Cyclin-dependent kinase inhibitor 1B,CDKN1B,198,198,57,198,198,1.0,1.0,1.0,0.2222222222222222,True,False,UPI0000035C92,UniRef50_P46527,2016_10,disprot_taxon_9606_homo_sapiens.json
P14061,DP00023,Homo sapiens,9606,Human,Estradiol 17-beta-dehydrogenase 1,HSD17B1,328,328,8,43,43,0.13109756097560976,0.13109756097560976,0.13109756097560976,0.1189024390243902,True,False,UPI00001108EB,UniRef50_P14061,2016_10,disprot_taxon_9606_homo_sapiens.json
Q13541,DP00028,Homo sapiens,9606,Human,Eukaryotic translation initiation factor 4E-binding protein 1,EIF4EBP1,118,118,46,118,118,1.0,1.0,1.0,0.211864406779661,True,False,UPI000058E2E5,UniRef50_Q13541,2016_10,disprot_taxon_9606_homo_sapiens.json
P04150,DP00030,Homo sapiens,9606,Human,Glucocorticoid receptor,NR3C1,777,777,22,518,518,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5572715572715573,True,False,UPI000012B301,UniRef50_P04150,2016_10,disprot_taxon_9606_homo_sapiens.json
P10912,DP00033,Homo sapiens,9606,Human,Growth hormone receptor,GHR,638,638,11,351,351,0.5501567398119123,0.5501567398119123,0.5501567398119123,0.512539184952978,True,False,UPI000012B416,UniRef50_P10912,2016_10,disprot_taxon_9606_homo_sapiens.json
P17096,DP00040,Homo sapiens,9606,Human,High mobility group protein HMG-I/HMG-Y,HMGA1,107,107,42,107,107,1.0,1.0,1.0,0.009345794392523364,True,False,UPI000012CA33,UniRef50_P17096,2016_10,disprot_taxon_9606_homo_sapiens.json
P78356,DP00054,Homo sapiens,9606,Human,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,PIP4K2B,416,416,5,90,90,0.21634615384615385,0.21634615384615385,0.21634615384615385,0.1346153846153846,True,False,UPI0000032D92,UniRef50_P78356,2016_10,disprot_taxon_9606_homo_sapiens.json
P27694,DP00061,Homo sapiens,9606,Human,Replication protein A 70 kDa DNA-binding subunit,RPA1,616,616,8,76,76,0.12337662337662338,0.12337662337662338,0.12337662337662338,0.11525974025974026,True,False,UPI00001739BE,UniRef50_P27694,2016_10,disprot_taxon_9606_homo_sapiens.json
P19793,DP00062,Homo sapiens,9606,Human,Retinoic acid receptor RXR-alpha,RXRA,462,462,27,151,151,0.3268398268398268,0.3268398268398268,0.3268398268398268,0.3051948051948052,True,False,UPI0000042A9A,UniRef50_P19793,2016_10,disprot_taxon_9606_homo_sapiens.json
P63027,DP00069,Homo sapiens,9606,Human,Vesicle-associated membrane protein 2,VAMP2,116,116,7,28,28,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.0344827586206896,True,False,UPI00001380F0,UniRef50_P63027,2016_10,disprot_taxon_9606_homo_sapiens.json
P37840,DP00070,Homo sapiens,9606,Human,Alpha-synuclein,SNCA,140,140,40,140,140,1.0,1.0,1.0,0.14285714285714285,True,False,UPI000003173B,UniRef50_P37840,2016_10,disprot_taxon_9606_homo_sapiens.json
Q8WZ42,DP00072,Homo sapiens,9606,Human,Titin,TTN,34350,34350,4,2152,2152,0.06264919941775837,0.06264919941775837,0.06264919941775837,,False,False,UPI00001100FC,UniRef50_Q8WZ42,2016_10,disprot_taxon_9606_homo_sapiens.json
P04818,DP00073,Homo sapiens,9606,Human,Thymidylate synthase,TYMS,313,313,15,49,49,0.15654952076677317,0.15654952076677317,0.15654952076677317,0.0127795527156549,True,False,UPI0000001225,UniRef50_P04818,2016_10,disprot_taxon_9606_homo_sapiens.json
P03372,DP00074,Homo sapiens,9606,Human,Estrogen receptor,ESR1,595,595,19,236,236,0.39663865546218485,0.39663865546218485,0.39663865546218485,0.4672268907563025,True,False,UPI0000040F02,UniRef50_P03372,2016_10,disprot_taxon_9606_homo_sapiens.json
